# Monthly Runoff (AHPS Computed)
# units: mm over lake
# Original data source://lre-netapp1/LRE1-Public/Public/Share/H&H/WHS/FORECAST/AHPS
# Last modified 2019-09-03 12:47:17 by DA9
#
"year","month","SUP","MIC","HUR","GEO","MIH","STC","ERI","ONT"
"1968","05","77.7","62.66","31.83","201.83","74.52","346.24","86.83","134.03"
"1968","06","73.17","67.31","35.68","141.45","68.37","570.45","69.66","118.28"
"1968","07","60.5","60.84","21.01","100.05","53.41","319.28","30.53","86.05"
"1968","08","45.03","31.53","15.17","85.82","34.66","89.4","16.94","45.04"
"1968","09","51.75","44.06","15.79","101.35","43.56","105.01","20.75","86.79"
"1968","10","61.6","34.77","16.66","103.07","39.56","126.29","22.66","82.03"
"1968","11","46.28","41.44","26.6","94.88","44.96","391.65","107.11","194.81"
"1968","12","41.74","53.77","42.14","141.02","63.87","651.33","130.97","238.39"
"1969","01","34.08","52.96","40.78","125.93","60.56","743.57","141.22","167.71"
"1969","02","26.89","55.99","37.67","123.77","60.62","523.62","85.4","177.24"
"1969","03","31.74","59.43","49.48","131.97","67.73","461.18","60.59","164.79"
"1969","04","114.76","97.83","67.26","316.12","122.59","720.87","146.71","278.3"
"1969","05","91.3","81.26","59.18","271.7","104.44","601.67","119.75","218.98"
"1969","06","62.07","68.32","26.6","184.58","72.71","212.85","48.66","130.73"
"1969","07","45.65","56.6","15.79","106.09","50.50","198.66","63.69","64.08"
"1969","08","34.24","27.29","9.45","62.96","26.89","66.69","9.78","34.42"
"1969","09","32.99","23.45","9.45","48.3","22.63","36.89","46.99","24.53"
"1969","10","53.94","59.83","38.42","145.34","66.26","153.25","32.44","64.82"
"1969","11","46.43","56.19","41.9","204.42","75.24","620.11","100.43","187.12"
"1969","12","36.58","43.86","25.98","164.31","57.17","405.84","43.89","157.83"
"1970","01","29.71","30.93","19.27","112.56","40.11","133.39","39.36","79.83"
"1970","02","22.83","32.14","21.38","90.57","37.88","363.27","78.01","127.07"
